Cell_Identity(CI),Downlink_Traffic,LAC,Duration,RAT,Uplink_Traffic,Latency,Throughput,Offloading_Decision
20723,0,43023,31,1,200,31,6.451612903,Mobile Device
20723,0,43023,0,1,60,0,1099823,Mobile Device
11803,896,3288,3,2,1192,3,696,Mobile Device
20723,0,43023,0,1,52,0,1099823,Mobile Device
7483,0,3287,0,2,60,0,1099823,Mobile Device
7483,333,3287,5,2,526,5,171.8,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11803,112,3288,0,2,64,5.00269,35.18107258,Edge Cloud
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
20723,0,43023,0,1,60,0,1099823,Mobile Device
11803,2112,3288,3,2,1174,8.939448,367.5842177,Edge Cloud
11803,248,3288,4,2,404,4,163,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
3553,2931,2184,293,2,2543,585.021817,9.356916,Edge Cloud
10632,810,43046,0,1,969,0,1099823,Mobile Device
11803,1370,3288,0,2,419,124.506583,14.36871816,Edge Cloud
10632,2083,43046,0,1,1129,5.463501,587.9014207,Edge Cloud
10632,1667,43046,0,1,782,5.226364,468.5858084,Edge Cloud
10632,1667,43046,0,1,782,5.225261,468.6847222,Edge Cloud
11803,1645,3288,155,2,1602,200.085716,16.22804498,Edge Cloud
11803,1990,3288,70,2,549,75.038686,33.83588034,Edge Cloud
11803,54063,3288,70,2,2346,75.050736,751.6115498,Edge Cloud
11803,69851,3288,140,2,4534,75.282084,988.0836986,Edge Cloud
10632,2789,43046,2,1,645,7.270105,472.34531,Edge Cloud
10632,439,43046,0,1,879,0,1099823,Mobile Device
10632,423,43046,0,1,730,0,1099823,Mobile Device
10632,1667,43046,0,1,766,5.254386,463.0417331,Edge Cloud
10632,1082,43046,0,1,653,5.228591,331.829359,Edge Cloud
10632,423,43046,0,1,746,0,1099823,Mobile Device
10632,4597,43046,0,1,600,5.266932,986.7224411,Edge Cloud
10632,5396,43046,0,1,696,5.292711,1151.016936,Edge Cloud
20723,424,43023,0,1,184,85.192652,7.136765739,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
10632,17121,43046,2,1,1429,7.441113,2492.906639,Edge Cloud
10632,5308,43046,2,1,746,7.442081,813.482143,Edge Cloud
10632,7297,43046,2,1,787,7.445078,1085.81804,Edge Cloud
20723,220,43023,0,1,220,0,1099823,Mobile Device
10433,380,43041,0,1,220,6.369315,94.20165277,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
10433,4124,43041,10,1,5675,10,979.9,Mobile Device
20723,0,43023,0,1,60,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
1971,82,43042,1,1,82,1,164,Mobile Device
11171,3678,43014,721,1,9934,721,18.87933426,Mobile Device
10632,423,43046,0,1,746,0,1099823,Mobile Device
11171,998,43014,44,1,724,50.142362,34.34221946,Edge Cloud
10632,488,43046,0,1,688,0,1099823,Mobile Device
11803,11209,3288,19,2,631,24.240223,488.4443514,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
11803,40,3288,0,2,40,0,1099823,Mobile Device
10632,87238,43046,0,1,3230,5.505013,16433.74866,Edge Cloud
20723,192,43023,0,1,156,5.079453,68.51131411,Edge Cloud
20723,806,43023,0,1,1300,0,1099823,Mobile Device
20723,586,43023,16,1,1220,16,112.875,Mobile Device
11803,0,3288,7,2,240,7,34.28571429,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11803,30960,3288,31,2,1486,36.500114,888.9287305,Edge Cloud
11803,2350,3288,6,2,2462,6,802,Mobile Device
50132,319,43061,2,1,342,2,330.5,Mobile Device
45193,654,43046,5,1,1067,5,344.2,Mobile Device
45193,654,43046,0,1,878,0,1099823,Mobile Device
20723,94,43023,0,1,92,5.12007,36.32762833,Edge Cloud
45193,654,43046,0,1,872,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11803,988,3288,35,2,1222,35,63.14285714,Mobile Device
11171,167,43014,0,1,380,0,1099823,Mobile Device
20723,0,43023,14,1,445,14,31.78571429,Mobile Device
11803,4188,3288,20,2,417,25.560328,180.1620073,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
50703,0,43053,0,1,56,0,1099823,Mobile Device
10632,3534,43046,65,1,1031,70.605352,64.65515532,Edge Cloud
11803,4659,3288,18,2,611,23.98093,219.7579493,Edge Cloud
11803,3140,3288,25,2,612,30.960775,121.1855969,Edge Cloud
20723,0,43023,0,1,60,0,1099823,Mobile Device
11803,3337,3288,17,2,630,22.740542,174.44615,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
50703,230,43053,1,1,278,1,508,Mobile Device
50703,390,43053,0,1,175,5.2719,107.1719873,Edge Cloud
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
50703,0,43053,0,1,52,0,1099823,Mobile Device
11061,420,43010,0,1,420,0,1099823,Mobile Device
11803,2550,3288,31,2,566,36.241154,85.97960208,Edge Cloud
20723,0,43023,0,1,89,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
21742,178,43017,0,1,189,0,1099823,Mobile Device
11803,40,3288,0,2,40,0,1099823,Mobile Device
45193,0,43046,0,1,60,0,1099823,Mobile Device
11061,0,43010,0,1,240,0,1099823,Mobile Device
11061,1282,43010,0,1,300,5.006791,315.9708484,Edge Cloud
11061,156,43010,0,1,300,0,1099823,Mobile Device
11061,208,43010,0,1,400,0,1099823,Mobile Device
11061,240,43010,0,1,400,0,1099823,Mobile Device
11061,172,43010,0,1,380,0,1099823,Mobile Device
11061,549,43010,0,1,401,5.310546,178.889327,Edge Cloud
12481,1336,43055,3,1,936,8.136985,279.2188999,Edge Cloud
11061,84,43010,0,1,180,0,1099823,Mobile Device
11061,777,43010,0,1,1049,0,1099823,Mobile Device
21212,189,43025,0,1,59,5.003233,49.56794936,Edge Cloud
21212,230,43025,0,1,1098,0,1099823,Mobile Device
11803,3652,3288,12,2,4279,12,660.9166667,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11061,40,43010,0,1,309,0,1099823,Mobile Device
11803,896,3288,4,2,1192,4,522,Mobile Device
11803,248,3288,14,2,404,14,46.57142857,Mobile Device
20723,466,43023,18,1,1148,18,89.66666667,Mobile Device
11803,120,3288,0,2,750,0,1099823,Mobile Device
10632,1394,43046,0,1,842,5.211479,429.0528658,Edge Cloud
10632,5284,43046,0,1,785,5.235509,1159.199612,Edge Cloud
11242,3983,43041,13,1,7040,13,847.9230769,Mobile Device
10632,30982,43046,2,1,2513,7.314085,4579.5202,Edge Cloud
10632,11042,43046,2,1,1270,7.005055,1757.587913,Edge Cloud
10632,19123,43046,2,1,2279,7.315112,2925.724172,Edge Cloud
10632,300,43046,0,1,65,5.004202,72.93870231,Edge Cloud
20723,359,43023,0,1,698,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
10632,1657,43046,2,1,542,7.325035,300.2033437,Edge Cloud
11803,4605,3288,22,2,467,27.900109,181.7914045,Edge Cloud
11803,2474,3288,70,2,734,75.942576,42.24244382,Edge Cloud
20723,0,43023,0,1,89,0,1099823,Mobile Device
361,126,43016,0,1,226,0,1099823,Mobile Device
60202,1727,3182,0,2,395,5.899424,359.696133,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
11803,248,3288,5,2,404,5,130.4,Mobile Device
45193,56,43046,0,1,144,0,1099823,Mobile Device
11803,330,3288,1250,2,228,1255.302193,0.444514479,Edge Cloud
11061,554,43010,29,1,505,34.821295,30.41242435,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
11242,844,43041,0,1,393,6.004669,206.0063594,Edge Cloud
20723,0,43023,0,1,60,0,1099823,Mobile Device
11803,292,3288,1,2,616,1,908,Mobile Device
11803,2129,3288,2,2,2714,2,2421.5,Mobile Device
11803,29736,3288,31,2,1379,36.660378,848.7364751,Edge Cloud
11803,650,3288,1,2,882,1,1532,Mobile Device
11803,442,3288,1,2,639,1,1081,Mobile Device
11803,394,3288,1,2,671,1,1065,Mobile Device
11803,394,3288,0,2,495,0,1099823,Mobile Device
3553,3129,2184,145,2,2193,164.109123,32.42964134,Edge Cloud
11803,29411,3288,39,2,1812,104.013728,300.1815299,Edge Cloud
2621,808,43052,14,1,982,14,127.8571429,Mobile Device
11803,40,3288,0,2,40,0,1099823,Mobile Device
45193,139,43046,0,1,67,5.00444,41.16344686,Edge Cloud
10632,488,43046,0,1,688,0,1099823,Mobile Device
45193,0,43046,0,1,40,0,1099823,Mobile Device
10632,488,43046,0,1,688,0,1099823,Mobile Device
10632,2080,43046,0,1,877,119.321517,24.78178349,Edge Cloud
11803,5711,3288,17,2,568,22.731236,276.2278303,Edge Cloud
10632,54983,43046,2,1,1561,7.294949,7751.11656,Edge Cloud
1971,302,43042,1,1,207,6.271665,81.15867158,Edge Cloud
10632,12531,43046,3,1,1323,8.298389,1669.480667,Edge Cloud
10632,7662,43046,2,1,753,7.26584,1158.159277,Edge Cloud
45193,0,43046,0,1,42,0,1099823,Mobile Device
11803,2234,3288,23,2,3103,23,232.0434783,Mobile Device
20723,137,43023,0,1,147,0,1099823,Mobile Device
11803,6340,3288,22,2,659,27.469377,254.7928189,Edge Cloud
10632,445171,43046,6,1,12463,11.759833,38915.0084,Edge Cloud
10632,79200,43046,2,1,2111,7.279925,11169.20847,Edge Cloud
11803,1513,3288,18,2,336,23.171146,79.79752059,Edge Cloud
10632,6380,43046,0,1,792,5.333296,1344.759413,Edge Cloud
10632,2558,43046,1,1,674,6.43126,502.5453799,Edge Cloud
10632,29798,43046,2,1,1155,7.55382,4097.661845,Edge Cloud
10632,83538,43046,3,1,3019,8.28245,10450.65168,Edge Cloud
10632,5556,43046,0,1,752,5.347085,1179.708196,Edge Cloud
45613,0,43010,0,1,52,0,1099823,Mobile Device
10632,17560,43046,3,1,1910,8.578403,2269.653221,Edge Cloud
10632,55157,43046,3,1,3632,8.928104,6584.712723,Edge Cloud
10632,24276,43046,4,1,3433,9.022107,3071.233804,Edge Cloud
10632,2814,43046,2,1,704,7.184026,489.6975596,Edge Cloud
10632,2656,43046,2,1,665,7.325958,453.3195522,Edge Cloud
10632,15959,43046,2,1,1385,7.361912,2355.909715,Edge Cloud
11803,52352,3288,103,2,3253,96.277365,577.5500815,Edge Cloud
11803,40,3288,0,2,40,0,1099823,Mobile Device
11803,0,3288,15,2,300,15,20,Mobile Device
10632,325393,43046,3,1,8141,8.304363,40163.70672,Edge Cloud
11803,63511,3288,60,2,2103,65.13193,1007.401439,Edge Cloud
60202,639,3182,0,2,299,5.919702,158.4539222,Edge Cloud
10632,4676,43046,0,1,752,5.305252,1023.137072,Edge Cloud
11803,40,3288,0,2,40,0,1099823,Mobile Device
46271,4066,43041,124,1,5273,124,75.31451613,Mobile Device
10632,38922,43046,3,1,2308,8.312393,4960.063847,Edge Cloud
10632,43389,43046,3,1,2869,8.312413,5564.930424,Edge Cloud
10632,37588,43046,3,1,2746,8.314376,4851.115706,Edge Cloud
3553,304,2184,16,2,490,16,49.625,Mobile Device
20723,115,43023,0,1,191,0,1099823,Mobile Device
11803,0,3288,0,2,479,0,1099823,Mobile Device
10632,136045,43046,3,1,4582,8.415467,16710.54025,Edge Cloud
3553,0,2184,19,2,120,19,6.315789474,Mobile Device
10632,15624,43046,2,1,926,7.228895,2289.423211,Edge Cloud
10632,16656,43046,2,1,924,7.022029,2503.5499,Edge Cloud
20723,893,43023,0,1,486,5.23008,263.667095,Edge Cloud
1971,82,43042,0,1,82,0,1099823,Mobile Device
10632,189809,43046,4,1,5380,9.6058,20319.91089,Edge Cloud
11803,1441,3288,0,2,480,74.689736,25.71973209,Edge Cloud
11803,40,3288,0,2,40,0,1099823,Mobile Device
45613,3421,43010,2,1,2775,7.432583,833.6267486,Edge Cloud
10632,20585,43046,2,1,1002,7.334931,2943.040637,Edge Cloud
10632,6804,43046,0,1,792,5.311435,1430.121992,Edge Cloud
11803,40,3288,0,2,52,0,1099823,Mobile Device
10632,47106,43046,3,1,2399,8.273339,5983.678416,Edge Cloud
10632,5748,43046,0,1,712,5.319212,1214.465601,Edge Cloud
45193,327,43046,0,1,433,0,1099823,Mobile Device
45193,327,43046,0,1,439,0,1099823,Mobile Device
45193,327,43046,0,1,436,0,1099823,Mobile Device
10632,5844,43046,0,1,792,5.300405,1251.979802,Edge Cloud
10632,229127,43046,7,1,11351,12.758366,18848.65194,Edge Cloud
10632,50576,43046,3,1,2856,8.852246,6035.982281,Edge Cloud
10632,104845,43046,7,1,6951,12.733359,8779.772878,Edge Cloud
10632,6620,43046,0,1,792,5.308354,1396.289697,Edge Cloud
10632,59730,43046,3,1,2521,8.371448,7436.109022,Edge Cloud
10632,18359,43046,3,1,1387,8.308464,2376.612572,Edge Cloud
10632,74215,43046,3,1,3298,8.43541,9189.002076,Edge Cloud
20723,94,43023,0,1,92,5.358877,34.70876454,Edge Cloud
10632,4868,43046,0,1,802,5.313234,1067.146676,Edge Cloud
10632,2179,43046,0,1,644,5.235261,539.2281302,Edge Cloud
11803,45948,3288,20,2,1233,25.290969,1865.527572,Edge Cloud
3553,0,2184,0,2,40,0,1099823,Mobile Device
10632,2437,43046,2,1,663,7.262855,426.8293942,Edge Cloud
10632,2177,43046,2,1,660,7.269885,390.2400107,Edge Cloud
10433,120,43041,3,1,116,8.568166,27.54381743,Edge Cloud
20723,0,43023,0,1,135,0,1099823,Mobile Device
11803,1314,3288,34,2,575,39.06466,48.35572612,Edge Cloud
20723,40,43023,0,1,135,0,1099823,Mobile Device
20723,116,43023,0,1,156,0,1099823,Mobile Device
11803,5121,3288,19,2,539,24.091248,234.9400911,Edge Cloud
45613,4872,43010,15,1,4537,20.977534,448.527458,Edge Cloud
11803,2856,3288,18,2,400,23.311115,139.6758585,Edge Cloud
11803,60,3288,0,2,100,0,1099823,Mobile Device
11803,0,3288,0,2,479,0,1099823,Mobile Device
10632,441,43046,0,1,744,0,1099823,Mobile Device
10632,293,43046,0,1,565,0,1099823,Mobile Device
10632,52,43046,0,1,104,0,1099823,Mobile Device
10632,4742,43046,1,1,3036,6.784178,1146.491145,Edge Cloud
45613,0,43010,0,1,52,0,1099823,Mobile Device
10632,4216,43046,2,1,2664,7.535734,912.9833935,Edge Cloud
10632,5795,43046,3,1,2098,8.379327,941.9610907,Edge Cloud
10632,21008,43046,8,1,3112,34.286375,703.4864432,Edge Cloud
10632,36073,43046,2,1,3044,7.334892,5333.002858,Edge Cloud
10632,1306,43046,0,1,782,5.225892,399.5490148,Edge Cloud
10632,325,43046,14,1,699,14,73.14285714,Mobile Device
10632,449,43046,13,1,777,13,94.30769231,Mobile Device
20723,0,43023,24,1,550,24,22.91666667,Mobile Device
10632,660,43046,0,1,1496,0,1099823,Mobile Device
3553,826,2184,78,2,1188,78,25.82051282,Mobile Device
45193,56,43046,0,1,144,0,1099823,Mobile Device
10632,388,43046,2,1,1045,2,716.5,Mobile Device
10632,4269,43046,2,1,2157,7.345994,874.7624896,Edge Cloud
10632,4226,43046,2,1,2975,7.012985,1026.809554,Edge Cloud
3553,79,2184,0,2,63,5.006673,28.36214788,Edge Cloud
11803,40,3288,0,2,40,0,1099823,Mobile Device
10632,295,43046,0,1,565,0,1099823,Mobile Device
1971,556,43042,7829,1,648,7829,0.153787201,Mobile Device
10632,4494,43046,1,1,2042,6.833163,956.5116477,Edge Cloud
10632,3489,43046,3,1,6382,3,3290.333333,Mobile Device
10632,4400,43046,2,1,3011,7.572768,978.6381941,Edge Cloud
11803,7844,3288,131,2,1012,74.247741,119.2763562,Edge Cloud
11803,7312,3288,60,2,707,65.711499,122.0334359,Edge Cloud
10632,52,43046,0,1,104,0,1099823,Mobile Device
10632,52,43046,0,1,104,0,1099823,Mobile Device
10632,52,43046,0,1,104,0,1099823,Mobile Device
11803,928,3288,3,2,851,8.798374,202.1964513,Edge Cloud
11803,4084,3288,65,2,506,70.789133,64.84046075,Edge Cloud
10632,5191,43046,2,1,744,7.143912,830.7773108,Edge Cloud
10632,8548,43046,4,1,1420,10.364416,961.7522106,Edge Cloud
3553,0,2184,0,2,40,0,1099823,Mobile Device
30202,0,43041,1,1,176,1,176,Mobile Device
30202,0,43041,1,1,176,1,176,Mobile Device
30202,0,43041,0,1,176,0,1099823,Mobile Device
30202,4933,43041,2,1,258283,2,131608,Mobile Device
10632,18397,43046,2,1,1278,7.053055,2789.571328,Edge Cloud
20723,0,43023,0,1,83,0,1099823,Mobile Device
11803,668,3288,5,2,1142,5,362,Mobile Device
1971,0,43042,0,1,52,0,1099823,Mobile Device
1971,0,43042,0,1,60,0,1099823,Mobile Device
301,1411,43048,9,1,6721,9,903.5555556,Mobile Device
301,164,43048,2,1,1390,2,777,Mobile Device
301,228,43048,0,1,835,0,1099823,Mobile Device
793,495,43043,0,1,153,5.426803,119.4073196,Edge Cloud
301,23620,43048,18,1,119440,18,7947.777778,Mobile Device
20723,0,43023,34,1,312,34,9.176470588,Mobile Device
301,164,43048,1,1,1272,1,1436,Mobile Device
20723,0,43023,34,1,312,34,9.176470588,Mobile Device
301,164,43048,0,1,1269,0,1099823,Mobile Device
301,164,43048,0,1,1238,0,1099823,Mobile Device
301,228,43048,0,1,1423,0,1099823,Mobile Device
301,192,43048,0,1,1255,0,1099823,Mobile Device
301,164,43048,0,1,1290,0,1099823,Mobile Device
20723,52,43023,1,1,298,1,350,Mobile Device
301,164,43048,1,1,1587,1,1751,Mobile Device
301,284,43048,0,1,1257,0,1099823,Mobile Device
301,204,43048,3,1,1380,3,528,Mobile Device
20723,0,43023,36,1,416,36,11.55555556,Mobile Device
301,284,43048,0,1,1511,0,1099823,Mobile Device
301,164,43048,0,1,1261,0,1099823,Mobile Device
301,369465,43048,3,1,10212,8.339752,45526.17392,Edge Cloud
20723,0,43023,0,1,60,0,1099823,Mobile Device
301,164,43048,0,1,1281,0,1099823,Mobile Device
301,152,43048,0,1,1467,0,1099823,Mobile Device
301,228,43048,0,1,1189,0,1099823,Mobile Device
301,228,43048,0,1,1306,0,1099823,Mobile Device
301,228,43048,0,1,1423,0,1099823,Mobile Device
301,164,43048,0,1,1215,0,1099823,Mobile Device
301,284,43048,0,1,1257,0,1099823,Mobile Device
301,228,43048,0,1,1048,0,1099823,Mobile Device
45193,869,43046,17,1,1209,17,122.2352941,Mobile Device
301,164,43048,0,1,996,0,1099823,Mobile Device
301,184,43048,0,1,1347,0,1099823,Mobile Device
301,4300,43048,25,1,3208,30.23626,248.3111337,Edge Cloud
301,471,43048,17,1,1069,17,90.58823529,Mobile Device
301,348,43048,0,1,1362,0,1099823,Mobile Device
301,14114,43048,0,1,3345,65.284323,267.4302068,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,0,1,40,0,1099823,Mobile Device
301,352,43048,0,1,64,5.002774,83.15386624,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
20723,0,43023,16,1,300,16,18.75,Mobile Device
20723,0,43023,16,1,300,16,18.75,Mobile Device
20723,0,43023,16,1,300,16,18.75,Mobile Device
301,4310,43048,30,1,1325,35.010624,160.9511444,Edge Cloud
1971,0,43042,8,1,180,8,22.5,Mobile Device
301,199633,43048,3,1,6364,8.37011,24611.02662,Edge Cloud
301,9022,43048,31,1,3749,36.760499,347.4109533,Edge Cloud
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
301,22175,43048,33,1,3015,38.289666,657.8798572,Edge Cloud
301,3853,43048,30,1,1246,35.630471,143.1078472,Edge Cloud
20723,0,43023,0,1,52,0,1099823,Mobile Device
301,374989,43048,3,1,10673,8.390256,45965.46279,Edge Cloud
11803,316692,3288,3000,2,104976,3005.555694,140.2961858,Edge Cloud
3553,970,2184,36,2,358,41.839159,31.74059976,Edge Cloud
1971,0,43042,0,1,52,0,1099823,Mobile Device
45193,3179,43046,4177,1,3900,4177,1.694757003,Mobile Device
20723,0,43023,14,1,300,14,21.42857143,Mobile Device
20723,1402,43023,0,1,745,54.725549,39.23213269,Edge Cloud
20723,0,43023,0,1,48,0,1099823,Mobile Device
20723,261609,43023,64,1,9039,69.54023,3891.962969,Edge Cloud
20723,570,43023,219,1,804,219,6.273972603,Mobile Device
20723,736,43023,0,1,1009,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
11803,308,3288,59,2,528,59,14.16949153,Mobile Device
301,357427,43048,4,1,10318,9.811563,37480.77651,Edge Cloud
20723,0,43023,6,1,240,6,40,Mobile Device
20723,49583,43023,65,1,8086,70.597401,816.8714313,Edge Cloud
11061,68,43010,0,1,120,0,1099823,Mobile Device
20723,314,43023,292,1,765,292,3.695205479,Mobile Device
20723,2579,43023,1801,1,847,1806.273006,1.896723246,Edge Cloud
20723,0,43023,15,1,300,15,20,Mobile Device
20723,2161,43023,292,1,1863,297.25888,13.53702201,Edge Cloud
20723,60,43023,0,1,100,0,1099823,Mobile Device
1971,0,43042,0,1,60,0,1099823,Mobile Device
20723,2295,43023,6,1,2397,6,782,Mobile Device
20723,466,43023,1,1,1024,1,1490,Mobile Device
20723,1585,43023,16,1,4131,16,357.25,Mobile Device
20723,686,43023,0,1,2829,0,1099823,Mobile Device
20723,0,43023,0,1,52,0,1099823,Mobile Device
20723,0,43023,0,1,52,0,1099823,Mobile Device
20723,0,43023,15,1,300,15,20,Mobile Device
301,52,43048,0,1,52,0,1099823,Mobile Device
301,40,43048,0,1,40,0,1099823,Mobile Device
